Frame 159, Green Left Cheek: 116.75704045058883, Green Right Cheek: 109.3116654069035
Frame 160, Green Left Cheek: 116.75115207373273, Green Right Cheek: 109.33509700176367
Frame 161, Green Left Cheek: 116.76753712237583, Green Right Cheek: 109.35474930713026
Frame 162, Green Left Cheek: 116.8090117767537, Green Right Cheek: 109.38800705467372
Frame 163, Green Left Cheek: 116.88197644649257, Green Right Cheek: 109.34945830183925
Frame 164, Green Left Cheek: 116.93753200204813, Green Right Cheek: 109.43613000755857
Frame 165, Green Left Cheek: 116.99923195084486, Green Right Cheek: 109.41068279163517
Frame 166, Green Left Cheek: 117.02969790066564, Green Right Cheek: 109.39430587049635
Frame 167, Green Left Cheek: 117.08013312852023, Green Right Cheek: 109.41546989166036
Frame 168, Green Left Cheek: 117.1594982078853, Green Right Cheek: 109.40388007054673
Frame 169, Green Left Cheek: 117.15540194572452, Green Right Cheek: 109.44948349710255
Frame 170, Green Left Cheek: 117.22171018945212, Green Right Cheek: 109.35600907029479
Frame 171, Green Left Cheek: 117.22171018945212, Green Right Cheek: 109.34416729654825
Frame 172, Green Left Cheek: 117.29902713773681, Green Right Cheek: 109.41899722852104
Frame 173, Green Left Cheek: 117.27854582693293, Green Right Cheek: 109.36331569664902
Frame 174, Green Left Cheek: 117.27931387608807, Green Right Cheek: 109.31771227009322
Frame 175, Green Left Cheek: 117.19610855094726, Green Right Cheek: 109.33963214915596
Frame 176, Green Left Cheek: 117.31848438300051, Green Right Cheek: 109.30738221214412
Frame 177, Green Left Cheek: 117.33307731694829, Green Right Cheek: 109.40614764424288
Frame 178, Green Left Cheek: 117.38556067588326, Green Right Cheek: 109.36961451247166
Frame 179, Green Left Cheek: 117.43958013312852, Green Right Cheek: 109.4421768707483
Frame 180, Green Left Cheek: 117.51126472094214, Green Right Cheek: 109.46888384983623
Frame 181, Green Left Cheek: 117.54505888376856, Green Right Cheek: 109.49836230788611
Frame 182, Green Left Cheek: 117.5757808499744, Green Right Cheek: 109.51549508692366
Frame 183, Green Left Cheek: 117.56707629288275, Green Right Cheek: 109.61955152431342
Frame 184, Green Left Cheek: 117.60778289810548, Green Right Cheek: 109.58856135046611
Frame 185, Green Left Cheek: 117.69764464925755, Green Right Cheek: 109.65734441924918
Frame 186, Green Left Cheek: 117.63184843830005, Green Right Cheek: 109.7238599143361
Frame 187, Green Left Cheek: 117.63978494623656, Green Right Cheek: 109.79465860418242
Frame 188, Green Left Cheek: 117.61853558627752, Green Right Cheek: 109.87100025195264
Frame 189, Green Left Cheek: 117.59933435739887, Green Right Cheek: 109.88410178886369
Frame 190, Green Left Cheek: 117.40809011776754, Green Right Cheek: 109.88107835726883
Frame 191, Green Left Cheek: 117.41218637992831, Green Right Cheek: 109.8241370622323
Frame 192, Green Left Cheek: 117.357910906298, Green Right Cheek: 109.74804736709498
Frame 193, Green Left Cheek: 117.3379416282642, Green Right Cheek: 109.79138321995465
Frame 194, Green Left Cheek: 117.26216077828981, Green Right Cheek: 109.848828420257
Frame 195, Green Left Cheek: 117.17357910906298, Green Right Cheek: 109.87150415721844
Frame 196, Green Left Cheek: 117.1146953405018, Green Right Cheek: 109.86268581506677
Frame 197, Green Left Cheek: 117.01868919610855, Green Right Cheek: 109.87755102040816
Frame 198, Green Left Cheek: 117.05376344086021, Green Right Cheek: 109.92013101536911
Frame 199, Green Left Cheek: 117.05171530977982, Green Right Cheek: 109.92743764172336
Frame 200, Green Left Cheek: 117.12416794674859, Green Right Cheek: 109.86318972033257
Frame 201, Green Left Cheek: 117.152585765489, Green Right Cheek: 109.9302091206853
Frame 202, Green Left Cheek: 117.21761392729135, Green Right Cheek: 109.69009826152683
Frame 203, Green Left Cheek: 117.17690732206862, Green Right Cheek: 109.70496346686824
Frame 204, Green Left Cheek: 117.22555043522786, Green Right Cheek: 109.66490299823633
Frame 205, Green Left Cheek: 117.27675371223758, Green Right Cheek: 109.76064499874023
Frame 206, Green Left Cheek: 117.17434715821813, Green Right Cheek: 109.52809271856891
Frame 207, Green Left Cheek: 117.17562724014337, Green Right Cheek: 109.44872763920382
Frame 208, Green Left Cheek: 117.05760368663594, Green Right Cheek: 109.36911060720584
Frame 209, Green Left Cheek: 117.03097798259088, Green Right Cheek: 109.3411438649534
Frame 210, Green Left Cheek: 116.9715821812596, Green Right Cheek: 109.381960191484
Frame 211, Green Left Cheek: 116.89170506912443, Green Right Cheek: 109.36482741244646
Frame 212, Green Left Cheek: 116.72350230414746, Green Right Cheek: 109.37011841773746
Frame 213, Green Left Cheek: 116.7183819764465, Green Right Cheek: 109.42857142857143
Frame 214, Green Left Cheek: 116.69124423963133, Green Right Cheek: 109.26706979087932
Frame 215, Green Left Cheek: 116.74347158218126, Green Right Cheek: 109.33308138070043
Frame 216, Green Left Cheek: 116.71044546850999, Green Right Cheek: 109.40513983371126
Frame 217, Green Left Cheek: 116.61187916026626, Green Right Cheek: 109.44897959183673
Frame 218, Green Left Cheek: 116.61981566820276, Green Right Cheek: 109.41118669690098
Frame 219, Green Left Cheek: 116.65207373271889, Green Right Cheek: 109.40539178634417
Frame 220, Green Left Cheek: 116.68253968253968, Green Right Cheek: 109.38044847568658
Frame 221, Green Left Cheek: 116.81387608806963, Green Right Cheek: 109.40539178634417
Frame 222, Green Left Cheek: 116.81822836661546, Green Right Cheek: 109.35348954396574
Frame 223, Green Left Cheek: 116.82181259600614, Green Right Cheek: 109.36482741244646
Frame 224, Green Left Cheek: 116.82360471070149, Green Right Cheek: 109.30713025951121
Frame 225, Green Left Cheek: 116.74039938556068, Green Right Cheek: 109.36079617031999
Frame 226, Green Left Cheek: 116.69994879672299, Green Right Cheek: 109.3718820861678
Frame 227, Green Left Cheek: 116.5847414234511, Green Right Cheek: 109.42000503905265
Frame 228, Green Left Cheek: 116.55197132616487, Green Right Cheek: 109.34265558075082
Frame 229, Green Left Cheek: 116.35151049667179, Green Right Cheek: 109.27739984882842
Frame 230, Green Left Cheek: 116.35099846390169, Green Right Cheek: 109.39329805996472
Frame 231, Green Left Cheek: 116.29493087557604, Green Right Cheek: 109.45074326026707
Frame 232, Green Left Cheek: 116.24193548387096, Green Right Cheek: 109.57470395565633
Frame 233, Green Left Cheek: 116.14311315924219, Green Right Cheek: 109.67372134038801
Frame 234, Green Left Cheek: 116.13133640552995, Green Right Cheek: 109.88057445200302
Frame 235, Green Left Cheek: 116.13415258576549, Green Right Cheek: 109.91106072058453
Frame 236, Green Left Cheek: 116.17127496159755, Green Right Cheek: 110.05845301083396
Frame 237, Green Left Cheek: 116.1410650281618, Green Right Cheek: 110.04383975812547
Frame 238, Green Left Cheek: 116.09600614439324, Green Right Cheek: 110.05794910556816
Frame 239, Green Left Cheek: 116.18561187916026, Green Right Cheek: 110.10380448475686
Frame 240, Green Left Cheek: 116.23067076292882, Green Right Cheek: 110.03124212648022
